iter	MultiClass
0	1.654324486
1	1.365172901
2	1.173602343
3	1.022240185
4	0.9102695514
5	0.8090353452
6	0.7256389755
7	0.6625267758
8	0.6080748401
9	0.5557333168
10	0.512469919
11	0.4726910471
12	0.4371642243
13	0.4057777566
14	0.3796654267
15	0.3557119279
16	0.334626631
17	0.3159364356
18	0.2997198804
19	0.2839109901
20	0.270670506
21	0.2579256673
22	0.2480881004
23	0.2383939406
24	0.2287863552
25	0.2209027624
26	0.2129887618
27	0.2055299858
28	0.1994024012
29	0.1938104573
30	0.1887986263
31	0.1840188731
32	0.1798068134
33	0.1759939215
34	0.17204086
35	0.168659018
36	0.1653673715
37	0.1629030088
38	0.1602633835
39	0.1577648098
40	0.1551122568
41	0.1530297756
42	0.151238553
43	0.1494763959
44	0.1478341214
45	0.1462430145
46	0.1445356708
47	0.1430340795
48	0.1417470061
49	0.1404125747
50	0.1390069374
51	0.1379428656
52	0.1368733927
53	0.1356513553
54	0.1346045053
55	0.1335715498
56	0.1327281144
57	0.1320175773
58	0.1312113518
59	0.1303961486
60	0.1296799205
61	0.1289737254
62	0.1282318745
63	0.1275486282
64	0.1269308639
65	0.1262130521
66	0.1257449567
67	0.1252128155
68	0.124581697
69	0.1241985169
70	0.1237314079
71	0.123156712
72	0.122554033
73	0.122072516
74	0.1216372567
75	0.1212054533
76	0.1207579563
77	0.1202196318
78	0.1198502133
79	0.1194507185
80	0.119203192
81	0.1188472871
82	0.1185748148
83	0.118192788
84	0.1178947968
85	0.1174892425
86	0.1170967268
87	0.1167655748
88	0.1164191271
89	0.1160457156
90	0.1157031961
91	0.1152195921
92	0.114967862
93	0.1147615943
94	0.1145411317
95	0.1143822197
96	0.1141648694
97	0.1139517662
98	0.1137847251
99	0.1134851109
