iter	Passed	Remaining
0	1	194
1	2	144
2	3	123
3	4	116
4	5	109
5	6	104
6	7	101
7	8	98
8	9	96
9	10	96
10	11	93
11	12	91
12	13	90
13	14	88
14	15	87
15	16	85
16	17	83
17	18	82
18	19	81
19	20	80
20	21	79
21	21	77
22	22	76
23	23	75
24	24	74
25	25	73
26	26	72
27	27	71
28	28	69
29	29	69
30	30	67
31	31	66
32	32	65
33	33	64
34	34	63
35	35	62
36	36	61
37	36	60
38	37	59
39	38	58
40	39	57
41	40	56
42	41	55
43	42	54
44	43	52
45	44	52
46	45	50
47	46	50
48	47	49
49	48	48
50	49	47
51	49	46
52	50	45
53	51	44
54	52	43
55	54	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	30
69	67	29
70	68	28
71	69	27
72	70	26
73	71	25
74	72	24
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	78	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	87	7
92	88	6
93	89	5
94	90	4
95	91	3
96	93	2
97	93	1
98	94	0
99	95	0
